KiGi,King Gizmo,1,"7,142857143",1,1,1
JaBo,Janez Bončina,1,"7,142857143",1,1,1
PeUg,Pero Ugrin,1,"7,142857143",1,1,1
JeMa,Jean Matyka,1,"7,142857143",1,1,1
GeWi,George Williams,1,"7,142857143",1,1,1
EaSh,Earl Shelton,1,"7,142857143",1,1,1
DDRo,Don D. Robey,1,"7,142857143",1,1,1
BiCu,Bill Curtis,1,"7,142857143",1,1,1
DaTo,Dado Topić,1,"7,142857143",1,1,1
Wond,9th Wonder,1,"7,142857143",1,1,1
Künstler*in,Harry Styles,,,,,
Album,Harry Styles,,,,,
Tracks,10,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
Hary,Harry Styles,10,100,7,7,2
JeBh,Jeff Bhasker,8,80,5,5,1
TyJo,Tyler Johnson,10,100,7,7,1
RyNa,Ryan Nasci,7,70,5,5,1
MiRo,Mitch Rowland,9,90,5,7,1
AlSa,Alex Salibian,8,80,5,5,1
KiHa,Kid Harpoon,2,20,1,1,1
JuBr,Julian Bunetta,1,10,1,1,1
JoRy,John Ryan,1,10,1,1,1
Künstler*in,Eminem,,,,,
Album,Revival,,,,,
Tracks,19,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
Emin,Enminem,19,100,7,7,2
SkGr,Skylar Grey,4,"21,05263158",3,3,1
Beyo,Beyoncé,1,"5,263157895",1,1,3
MaBa,Mark Batson,3,"15,78947368",1,3,1
MiSt,Mike Strange,1,"5,263157895",1,1,1
LuRe,Luis Resto,3,"15,78947368",1,3,3
PMD,PMD,1,"5,263157895",1,1,1
ErSe,Erick Sermon,1,"5,263157895",1,1,1
dEnA,dEnAun,2,"10,52631579",1,1,1
ErMc,Eric McIntosh,1,"5,263157895",1,1,1
TyKe,Tyrone Kelsie,1,"5,263157895",1,1,1
AnBr,Andre Brown,1,"5,263157895",1,1,1
MaAc,Masta Ace,1,"5,263157895",1,1,1
GaDe,Gaye Delorme,1,"5,263157895",1,1,1
ToCh,Tommy Chong,1,"5,263157895",1,1,1
EmHa,Emile Haynie,2,"10,52631579",1,1,1
Dove,Doveman,1,"5,263157895",1,1,1
EdSh,Ed Sheeran,1,"5,263157895",1,1,1
TLJr,Trevor Lawrence Jr.,1,"5,263157895",1,1,1
RNUF,Ron “NEFF-U” Feemster,1,"5,263157895",1,1,1
DDre,Dr. Dre,1,"5,263157895",1,1,1
JiWa,Jim Walters,1,"5,263157895",1,1,1
LuRa,Luther Rabb,1,"5,263157895",1,1,1
YoMC,Young MC,1,"5,263157895",1,1,1
MaDi,Matt Dike,1,"5,263157895",1,1,1
Scho,Schoolly D,1,"5,263157895",1,1,1
AlMa,Alan Merrill,1,"5,263157895",1,1,1
